Имя,Математика,Физика,Информатика,Литература,История,Посещаемость
Анна,85,92,78,88,90,95
Борис,72,68,88,75,70,80
Виктор,90,85,70,92,88,98
Галина,78,82,92,85,80,85
Дмитрий,88,79,85,90,92,90
Елена,95,88,70,92,85,95
Жанна,65,70,75,68,72,70
Иван,82,78,88,85,80,88
Ксения,90,85,92,88,95,92
Леонид,75,80,78,82,76,78
Мария,88,92,85,90,88,90
Николай,70,65,72,68,70,65
Ольга,92,88,95,90,85,95
Павел,78,75,70,82,80,78
Светлана,85,80,88,85,90,85
Тимофей,68,72,70,75,68,70
Ульяна,90,88,85,92,88,92
Федор,82,78,80,85,82,80
Харитон,75,70,72,78,75,75
Цветана,88,85,92,90,88,88
Чеслав,70,68,75,72,70,72
Шамиль,85,82,80,88,85,85
Щербак,78,75,82,80,78,80
Юлия,92,88,90,95,92,95
Яков,80,78,75,82,80,78
